"","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm"
"49",180.214822434244,0.1167,"SPOT",1,6,9,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.63826025641,0.037,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"50",180.038708848668,0.121,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",177.686514962117,0.0943,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"51",179.279508396179,0.0494,"SPOT",1,6,7,0,0.25,0,"Montage_1000.xml|","EVOLUTION",173.682927928607,0.0368,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"52",179.16870527164,0.1238,"SPOT",1,6,10,0,0.25,4,"Montage_1000.xml|","EVOLUTION",177.515966762376,0.113,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"53",174.637844117647,0.0469,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",179.982968124686,0.119,"SPOT",1,6,11,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"54",182.487188091894,0.0747,"SPOT",1,6,10,0,0.25,3,"Montage_1000.xml|","EVOLUTION",174.090238486677,0.0368,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"61",182.250851619694,0.097,"SPOT",1,6,8,0,0.25,0,"Montage_1000.xml|","EVOLUTION",180.282090045249,0.1206,"SPOT",1,6,9,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"62",177.83708144034,0.0444,"SPOT",1,7,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",181.141823353444,0.1111,"SPOT",1,6,10,0,0.3,4,"Montage_1000.xml|","EVOLUTION"
"63",178.057106686777,0.1144,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",176.169936450478,0.0634,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"64",179.4351797637,0.051,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",176.902478515385,0.0465,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"65",177.709365510307,0.0439,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",177.405667496229,0.0589,"SPOT",1,6,8,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"66",179.057921618904,0.0455,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",173.907848340875,0.0367,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"73",173.640698441428,0.0366,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",173.542518979387,0.0367,"SPOT",1,6,6,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"74",177.93596040724,0.0933,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",177.620756834185,0.1375,"SPOT",1,6,9,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"75",174.6385268728,0.0465,"SPOT",1,6,8,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.619760356963,0.0459,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"76",173.640698441428,0.0367,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",180.26624017094,0.0447,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"77",181.134024375896,0.0491,"SPOT",1,6,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",174.63826214178,0.0484,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"78",176.919426948215,0.0441,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",172.641410633484,0.0746,"SPOT",1,6,9,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"85",174.090238486677,0.0367,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.856535771744,0.0714,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"86",181.855828934138,0.0471,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",179.818460789712,0.1218,"SPOT",1,6,11,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"87",180.913565434892,0.0438,"SPOT",1,6,7,0,0.25,0,"Montage_1000.xml|","EVOLUTION",177.323864580191,0.0548,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"88",182.351939023283,0.0655,"SPOT",1,7,8,0,0.25,2,"Montage_1000.xml|","EVOLUTION",180.275982034148,0.0526,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"89",181.384602691587,0.0438,"SPOT",1,6,7,0,0.25,0,"Montage_1000.xml|","EVOLUTION",177.972739919557,0.0954,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"90",181.232633634993,0.0444,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",180.773530995475,0.106,"SPOT",1,6,9,0,0.3,3,"Montage_1000.xml|","EVOLUTION"
"97",177.241066239316,0.1162,"SPOT",1,6,9,0,0.25,2,"Montage_1000.xml|","EVOLUTION",180.097976948215,0.099,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"98",174.090238486677,0.0368,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",174.600475426056,0.1133,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"99",178.466703066868,0.0977,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",179.495728586768,0.0458,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"100",177.025791402715,0.0991,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.918217621921,0.0432,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"101",174.63826025641,0.037,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",179.096381372549,0.0507,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"102",175.839877677225,0.1215,"SPOT",1,6,10,0,0.25,0,"Montage_1000.xml|","EVOLUTION",176.367077928607,0.0515,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
